id,resource_type,label,source_url,host,lessons,legacy_source_files,local_matches,suggested_action,status,new_url,notes
resource-0001,link,click here,https://www.transformationteam.net/donationstt,www.transformationteam.net,1;11,tc11b.php;ttcourse01b.php,legacy-archive|exact-stem|/mnt/c/datasources/transformation-team-site/archive/original-httpdocs/donationstt.php,review-local-page-candidate,needs-review,,
resource-0002,link,Click Here,https://www.transformationteam.net/course_registration,www.transformationteam.net,1,ttcourse01b.php,legacy-archive|exact-stem|/mnt/c/datasources/transformation-team-site/archive/original-httpdocs/course_registration.php,review-local-page-candidate,needs-review,,
resource-0003,link,community networking portal,http://www.gatheringspot.net,www.gatheringspot.net,1,ttcourse01b.php,,review-external-link,needs-review,,
resource-0004,media-file,Flower of Life,https://www.personalgrowthcourses.net/images/tekafloweroflife.jpg,www.personalgrowthcourses.net,1,ttcourse01b.php,,review-legacy-hosted,needs-review,,
resource-0005,media-file,Heart into World,https://www.personalgrowthcourses.net/images/heartworld.gif,www.personalgrowthcourses.net,1,ttcourse01a.php,,review-legacy-hosted,needs-review,,
resource-0006,link,http://www.challengeday.org,http://www.challengeday.org,www.challengeday.org,1,ttcourse01b.php,,review-external-link,needs-review,,
resource-0007,link,http://www.idealist.org,http://www.idealist.org,www.idealist.org,1;5,ttcourse01b.php;ttlesson05b.php,,review-external-link,needs-review,,
resource-0008,link,http://www.thelovefoundation.com,http://www.thelovefoundation.com,www.thelovefoundation.com,1,ttcourse01b.php,,review-external-link,needs-review,,
resource-0009,link,http://www.wheretheheckismatt.com,http://www.wheretheheckismatt.com,www.wheretheheckismatt.com,1,ttcourse01b.php,,review-external-link,needs-review,,
resource-0010,link,https://www.momentoflove.org,https://www.momentoflove.org,www.momentoflove.org,1;11;17,tc11b.php;trfc17a.php;ttcourse01a.php,,review-external-link,needs-review,,
resource-0011,link,https://www.momentoflove.org/circlesoflove,https://www.momentoflove.org/circlesoflove,www.momentoflove.org,1,ttcourse01b.php,,review-external-link,needs-review,,
resource-0012,link,https://www.momentoflove.org/inspiringnewsarticles,https://www.momentoflove.org/inspiringnewsarticles,www.momentoflove.org,1;17,trfc17b.php;ttcourse01b.php,,review-external-link,needs-review,,
resource-0013,link,https://www.personalgrowthcourses.net/stories/dontjudgeabook1,https://www.personalgrowthcourses.net/stories/dontjudgeabook1,www.personalgrowthcourses.net,1;11,tc11b.php;ttcourse01a.php,legacy-archive|exact-stem|/mnt/c/datasources/transformation-team-site/archive/original-httpdocs/stories/dontjudgeabook1.php,review-local-page-candidate,needs-review,,
resource-0014,media,https://www.personalgrowthcourses.net/video/challenge_day_pgc,https://www.personalgrowthcourses.net/video/challenge_day_pgc,www.personalgrowthcourses.net,1;11,tc11b.php;ttcourse01b.php,,review-legacy-hosted,needs-review,,
resource-0015,media,https://www.personalgrowthcourses.net/video/dancing_matt_pgc,https://www.personalgrowthcourses.net/video/dancing_matt_pgc,www.personalgrowthcourses.net,1;11,tc11b.php;ttcourse01a.php,,review-legacy-hosted,needs-review,,
resource-0016,media,https://www.personalgrowthcourses.net/video/every_one_of_us_pgc,https://www.personalgrowthcourses.net/video/every_one_of_us_pgc,www.personalgrowthcourses.net,1;11,tc11b.php;ttcourse01a.php,,review-legacy-hosted,needs-review,,
resource-0017,link,Oprah Show,http://www.oprah.com/oprahshow/Lisa-Lings-Breaks-Down-High-School-Barriers-Video,www.oprah.com,1,ttcourse01b.php,,review-external-link,needs-review,,
resource-0018,media-file,peace_ideal_moron_cuts.jpg,https://www.personalgrowthcourses.net/sacred_cows/peace_ideal_moron_cuts.jpg,www.personalgrowthcourses.net,1,ttcourse01a.php,,review-legacy-hosted,needs-review,,
resource-0019,link,soulconnection.net,https://web.archive.org/web/20191001115619/https://www.soulconnection.net/,web.archive.org,1;7;9;10;13;19;21,tc09b.php;tc10b.php;tc13b.php;trfc19b.php;trfc21b.php;trfc21c.php;ttcourse01b.php;ttlesson07b.php,,review-archived-link,needs-review,,
resource-0020,link,Spyder Webb,https://universityofmetaphysics.com/dr-spyder-webb-ph-d/,universityofmetaphysics.com,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,tc09a.php;tc10a.php;tc11b.php;tc12a.php;tc13a.php;trf14a.php;trf15b.php;trf16a.php;trfc17a.php;trfc18a.php;trfc19a.php;trfc20a.php;trfc21c.php;ttcourse01a.php;ttcourse02a.php;ttcourse03a.php;ttlesson04a.php;ttlesson05a.php;ttlesson06b.php;ttlesson07a.php;ttlesson08a.php,,review-external-link,needs-review,,
resource-0021,link,The Little Prince,http://www.amazon.com/Little-Prince-Antoine-Saint-Exup%C3%A9ry/dp/0156012197/ref=pd_bbs_2/105-8477226-4271649?tag=wanttinfo-20&ie=UTF8&s=books&qid=1192035568&sr=1-2,www.amazon.com,1,ttcourse01b.php,,review-external-link,needs-review,,
resource-0022,media-file,waterfalls.jpg,https://www.personalgrowthcourses.net/images/waterfalls.jpg,www.personalgrowthcourses.net,1,ttcourse01b.php,,review-legacy-hosted,needs-review,,
resource-0023,link,click here,https://www.inspiringcommunity.org/inspiringstories0712wildernessmiraclecandledarknessworld#4,www.inspiringcommunity.org,2,ttcourse02b.php,,review-external-link,needs-review,,
resource-0024,link,Click Here,http://support.personalgrowthcourses.net/user/me/edit/Transformation+Course+-+Lesson+02,support.personalgrowthcourses.net,2,ttcourse02b.php,,review-external-link,needs-review,,
resource-0025,link,clicking here,https://www.WantToKnow.info/subscribe,www.wanttoknow.info,2,ttcourse02b.php,,review-external-link,needs-review,,
resource-0026,link,created by the military,http://en.wikipedia.org/wiki/Defense_Advanced_Research_Projects_Agency,en.wikipedia.org,2,ttcourse02b.php,,review-external-link,needs-review,,
